SUBM_TYPE_QUALIFIER,837P5010,0,,,,,Submitter Type Qualifier,1,1,LIST,2|1,Submitter Type Qualifier,,,1,Type Qualifier,,"if {[IsPresent]} {
  if {![CWL ""1,2""]} {setError ""Entity Type Qualifier Must Be 1 Or 2"" }
}",2013140007 2013123008 2012292012 2012009032 5010 Implementation,,1000A,NM1,2,R,ID,,1065,50,AO. BAWM. BCBS. FEP. HA. ITS. MPA. USAA. USABLE. USAL. TYSN. BCBSX. BCBSAMI. BCBSSH.,1939,5696,Y,          ,2019-04-26-09.47.49.663865,"If present, must be 1 or 2 or error message ""Entity Type Qualifier Must Be 1 Or 2"" will display. incorrect.

01/12/2009-DMC-Created per Protrac 2008296010.
08/20/2010-CLM-Removed Medicare from this edit. Protrac 2010228015
2012009032 - 01/10/2012 - slc - moved arcaid & comm to edit 2740
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",,1030,FOUND
SUBM_TYPE_QUALIFIER,837P5010,0,,,,,Submitter Type Qualifier,1,1,LIST,2|1,Submitter Type Qualifier,,,1,Type Qualifier,,"if { ![IsPresent] } {
   setError ""Entity Type Qualifier Must Be Present"" 
} else {
   if { ![CWL ""1,2""] } { setError ""Entity Type Qualifier Must Be 1 Or 2"" }
}
",2013200011 2012009032 2010316003 5010:Medicare Edit Updates,,1000A,NM1,2,R,ID,,1065,50,ARCAID. COMM. MCAR. MPA. MCBRR.,2740,5696,Y,          ,2019-04-26-09.48.08.116359,"Submitter Type Qualifier (1000A NM102) must be present and must equal 1 or 2.

08/20/2010-CLM-Created new edit for Medicare only, after removing Medicare from edit 1939. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - added mpa
2012009032 - 01/10/2012 - slc - added arcaid & comm
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",,1030,
SUBMNAME,837P5010,0,,,,,Submitter Last Name,1,60,EDIT,,Submitters Last Name,,,20,Sub Last Name,,"if { ![IsPresent] } {
   setError ""Submitter Name Must Be Present"" 
} else {
   if { [ValidCharSet ""$BIG_CHARS_LIST""] != 1 } {
      setError ""Submitter Name Contains Invalid Characters"" 
      return
   }
   if { [string length $thisvalue] > 60 } {
      setError ""Submitter Name Cannot Exceed 60 Characters"" 
   }
}
",2013200011 2011115007 2010316003 5010:Medicare Edit Updates,,1000A,NM1,3,R,AN,,1035,50,ARCAID. COMM. MCAR. MPA. MCBRR.,2742,5697,Y,          ,2019-04-26-09.48.08.183987,"Submitter Name (1000A NM103) must be present, must contain valid characters BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"", and cannot exceed max length of 60 characters.

08/20/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - added MPA and updated documentation
2011115007 - 04/28/2011 - slc - added COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",,1031,
SUBM_FIRST_NAME,837P5010,0,,,,,Submitter First Name,1,35,EDIT,,Submitter First Name,,,20,Sub First Name,,"if { [IsPresent] } {
   if { [getField CLAIM.SUBM_TYPE_QUALIFIER] == ""2"" } {
      setError ""Submitter First Name Cannot Be Present When Qualifier = 2"" 
      return
   }
   if { [ValidCharSet ""$BIG_CHARS_LIST""] != 1 } {
      setError ""Submitter First Name Contains Invalid Characters"" 
      return
   }
   if { [string length $thisvalue] > 35 } {
         setError ""Submitter First Name Cannot Exceed 35 Characters"" 
   }
}
",2013200011 2011115007 2010316003 5010:Medicare Edit Updates,,1000A,NM1,4,S,AN,,1036,50,ARCAID. COMM. MCAR. MPA. MCBRR.,2743,5698,Y,          ,2019-04-26-09.48.08.256097,"When Submitter Type Qualifier (1000A NM102) is present, Submitter First Name(1000A NM104) cannot be present.
When Submitter First Name is present, it must contain valid characters VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"" and cannot be longer than 35 characters.

08/20/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - added MPA and updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",,1032,
SUBM_MIDDLE_NAME,837P5010,0,,,,,Submitter Middle Name,1,25,EDIT,,Submitter Middle Name,,,5,Sub Middle Initial,,"if {[IsPresent]} {
   if { [getField CLAIM.SUBM_TYPE_QUALIFIER] == ""2"" } {
      setError ""Submitter Middle Name Cannot Be Present When Qualifier = 2"" 
      return
   }
   if { [ValidCharSet ""$VALID_NAME_CHARS_SHT""] != 1 } {
      setError ""Submitter Middle Name Contains Invalid Characters"" 
      return
   }
   if { [string length $thisvalue] > 25 } {
      setError ""Submitter Middle Name Cannot Exceed 25 Characters"" 
   }
   if { $vScript==""MCAR."" || $vScript==""MPA."" || $vScript==""MCBRR."" } {
       set first [string range $thisvalue 0 0]
     if {[IsText $first]!=1} {   
       setError ""Submitter Middle Name Must Start With An Alpha Character.""
     }
   }
}",2013200011 2013064014 2011115007 2010316003 5010:Medicare Edit,,1000A,NM1,5,S,AN,,1037,50,ARCAID. COMM. MCAR. MCBRR. MPA. ,2744,5699,Y,          ,2019-04-03-13.25.52.958599,"When Submitter Type Qualifier (1000A NM102) is 2, Submitter Middle Name (1000A NM105) cannot be present.
When Submitter Middle Name (1000A NM105) is present, it must contain valid characters VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"" and cannot exceed max length of 25 characters.
If this is a Medicare or MediPak Advantage claim, and the Submitter Middle name (1000A NM105) is present and contains a non-alpha character in first position, the claim will reject.


08/20/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/19/2010 - fmb - updated to include MPA and updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013064014 - 03/08/2013 - dmc - added alpha required as first character.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",,1033,
SUBEIN,837P5010,0,,,,,Submitter Number,2,80,EDIT,,Submitter Number,,,20,Submitter Number,,"set key """"
set num """"
set num1 """"

set recid [getField CLAIM.RECEIVER_ID_CODE]
if {![IsPresent] || $thisvalue == ""-""} { 
   set key """"
   setError ""Submitter ID Number Is Missing""
   return
} else {
   set key [string range $thisvalue 0 0]
   if {![IsAlphaNum $thisvalue]} {
      setError ""Submitter ID must be Alphanumeric""
      return
   } else { 
      if { [string length $thisvalue] > 80 } {
         setError ""Submitter ID Cannot Exceed 80 Characters"" 
         return
      }
   }
}
# num is a list of allowed receiver ids
switch $key {
  ""C"" { set num1 ""00520""; set num ""07102,04312,07202,07302,04112,04212,04412"" }
  ""E"" { set num1 ""00520""; set num ""07102"" }
  ""L"" { set num ""00528"" }
  default {
    setError ""First Position Must Be A Specific Character \[$thisvalue\] is an invalid SUBID""
    return
  }
}
if { ![IsPresent $recid] } { 
 setError ""Receiver Organization ID required"" CLAIM.RECEIVER_ID_CODE
 return
} else {
# the way we handle this will need changed once we have something other than ok mc and mcbrr.
  if { ([string equal $num1 $recid]==0 && [CWL $num $recid]!=1 ) && $key != """" } { 
# we don't know which number is required for C submitters, could be rr, or ok mc at this time
# eventually will be more, so msg must be generic.
     if { $key==""C"" } {
       setError ""Submitter ID and Receiver Org ID combination invalid"" CLAIM.RECEIVER_ID_CODE
       return
     }
     setError ""Submitter ID and Receiver Org ID combination invalid \[$thisvalue\] requires \[$num\]"" CLAIM.RECEIVER_ID_CODE
     return
   }
}
",2014080026 2014057030 2014052027 2014027028 2014027029,,1000A,NM1,9,R,AN,,67,50,MCAR. MCBRR. ,1745,5700,Y,          ,2019-04-03-13.24.42.706979,"The Submitter Id (1000A NM109) must be present, not ""-"", Alphanumeric, and less than 81 characters. The first position of the Submitter Id must be C, E or L.(this field is not editable from gui)

The Payer Organization Id (1000B NM109) and the Submitter Id (1000A NM109) combination must be valid.

08/23/2010-CLM-Updated Medicare edit. Protrac 2010228015
2010316003 - 11/22/2010 - fmb - updated documentation
2011180008 - 08/23/2011 - slc - removed logic for all except AR & LA Medicare since they are the only ones we accept.
2012009032 - 01/10/2012 - slc - moved Medipak Advantage to edit 1746 so Dakota can be accepted, this edit is Medicare only.
2012139015 - 07/02/2012 - slc - add 07102 as valid payer number for med b.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2014027029 - 02/03/2014 - slc - updated for C submitters.
2014027028 - 02/10/2014 - slc - updated to allow ok mc part b for c submitters.
2014052027 - 02/21/2014 - slc - fix uninitialized variable num2
2014057030 - 03/04/2014 - slc - added remaining medicare JH
2014080026 - 03/21/2014 - slc - needs to still accept 00520 for AR Medicare",,1034,
SUBEIN,837P5010,0,,,,,Submitter Number,2,80,EDIT,,Submitter Number,,,20,Submitter Number,,"if {[IsPresent]} {
   set first [string range $thisvalue 0 0]
   if {[CWL ""X"" $first]==1} {
       if {[string length $thisvalue]!=5} {
       setError ""Submitter ID Must Have Length of 5""
       return
       }
   return
   }
   set payto [getField PAYTOPROVIDER]
   if {[CWL ""E4798""] && ($payto != ""1124493523"" && $payto != ""1326340944"")} {
      setError ""Invalid Billing NPI for Submitter E4798"" BILLINGPROVIDER
   } 
   if {[CWL ""E5905""] && ($payto == ""1124493523"" || $payto == ""1326340944"")} {
      setError ""Invalid Billing NPI for Submitter E5905"" BILLINGPROVIDER
   }  
   if {[CWL ""E2657""] && ($payto != ""1295113959"")} {
      setError ""Invalid Billing NPI for Submitter E2657"" BILLINGPROVIDER
   }
   if {[CWL ""E,U"" $first]==1 || ([isCOMMERCIAL]==1 && [CWL ""C"" $first]==1)} {
       if {[string length $thisvalue]!=5} {
       setError ""Submitter ID Must Have Length of 5""
       }
   } else {
       setError ""Invalid Submitter Number For This Payer""
     }
}",2017353040 2015324016 2015197016 2014330014 2014183008,,1000A,NM1,9,R,AN,,67,50,AO. ARCAID. BAWM. BCBS. BCBSAMI. BCBSSH. BCBSX. COMM. FEP. HA. ITS. MPA. TYSN. USAA. USABLE. USAL. ,1746,5700,Y,          ,2019-04-03-13.24.42.780476,"Submitter Id must begin with ""X"", ""U"", or ""E"" and be 5 characters long.
For Commercial, Submitter Id can begin with ""C"".

If a file is received from E4798 (ABCBS Health Stat Employee Clinic) and the pay to NPI is not equal to 1326340944 or 1124493523, reject the claim in AHIN.  If a file is receved from E5905  (BA Pace Health Stat) and the NPI is equal to 1326340944 or 1124493523, reject these claims in AHIN.
If a file is receved from E2657  (Childrens Hospital Health Stat) and the NPI is not equal to 1295113959, reject these claims in AHIN.


11/10/2006-CLM-Changed msg for ""X"" not length of 5.
06/05/2008-CLM-2008098026 - Added Medicaid and Commercial.
2010316003 - 11/22/2010 - fmb - removed MPA, added them to 1745
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2014013034 - 01/14/2014 - slc - added C allowed for Commercial
2014027029 - 01/28/2014 - slc - adjusted to use isCOMMERCIAL proc since medicaid commercial claims use the ARCAID script.
2014183008 - 09/18/2014 - rmt - allow U submitter numbers
2014330014 - 12/04/2014 - rmt - reject Pace or HealthStat claims that have invalid NPI/Submitter combinations
2015197016 - 09/17/2015 - rmt - add Childrens Hospital HealthStat Clinic
2015324016 - 11/20/2015 - rmt - update ACH HealthStat npi
2017353040 - 12/20/2017 - slc - added npi for HealthStat Clinic",,1034,
SUBM_CONTACT:2,837P5010,0,,,0,0,Submitter Contact,1,60,EDIT,,Submitter Contact,,,50,Name,,"if {[IsPresent] } {
      setError ""Secondary Contact Name Is Not Allowed""
}
",2013200011 2011115007 2010316003 5010:Medicare Edit Updates,,1000A,PER,2,R,AN,,93,50,ARCAID. COMM. MCAR. MPA. MCBRR.,2746,5701,Y,,2019-04-26-09.48.08.396603,"A secondary Submitter Contact Name (1000A PER02, second iteration) is not allowed.

08/23/2010-CLM-Created new edit for Medicare only. Protrac 2010228015
2010316003 - 11/22/2010 - fmb - added MPA, updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",,1035,
RECEIVER_NAME,837P5010,0,,,,,RECEIVER ORG NAME,1,60,EDIT,,Receiver Name,,,20,Receiver Org Name,,"if { [IsPresent $thisvalue] != 1 } {
   setError ""Receiver Name must be present"" 
   return
}
if { [ValidCharSet ""$BIG_CHARS_LIST""] != 1 } {
   setError ""Receiver Name Contains Invalid Characters"" 
   return
} 
if { [string length $thisvalue] > 60 } {
   setError ""Receiver Name Cannot Exceed 60 Characters"" 
}
",2013200011 2011115007 2010316003 5010:Medicare Edit Updates,,1000B,NM1,3,R,AN,,1035,50,ARCAID. COMM. MCAR. MPA. MCBRR.,2756,5708,Y,          ,2019-04-26-09.48.08.541454,"Receiver Name (1000B NM103) must be present, must contain valid characters (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''""), and cannot exceed 60 characters in length.

08/24/2010-CLM-Created new Medicare edit. Protrac 2010228015
2010316003 - 11/29/2010 - fmb - updated documentation
2011115007 - 04/28/2011 - slc - added COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",,1049,
RECEIVER_ID_CODE,837P5010,0,,,,,Receiver Org ID,2,80,EDIT,,Receiver Org ID,,,20,Rcvr Org ID,,"if {[IsPresent]} {
  if {[CWL ""00520,00528,04312,07102,07202,07302,04112,04212,04412""]!=1} {setError ""Invalid Receiver ID""}
}","2014057030 2014027028 2013200011 2012139015, 2011118010",,1000B,NM1,9,R,AN,,67,50,MCAR. MCBRR. ,1753,5709,Y,          ,2019-04-03-13.24.42.932432,"REJECT CLAIM WITH INVALID CARRIER NUMBER IN THE 1000B, NM109.

2011118010 - 2011/08/29 - slc - remove all except AR & LA rcvr ids previous list was ""00520,00521,00522,00523,00524,00528""
2012139015 - 07/02/2012 - slc - add 07102 as allowed value for receiver id.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2014027028 - 02/11/2014 - slc - added 04312 to list.
2014057030 - 03/04/2014 - slc - added medicare JH to list",,1050,
